objectid,Class,Name,,,,,,,,,,,,,,,,,,,,,,,,,
3301,5,Denkste!?,,,,,,,,,,,,,,,,,,,,,,,,,
3302,5,Machu Picchu,,,,,,,,,,,,,,,,,,,,,,,,,
3303,5,Ostindien Company,,,,,,,,,,,,,,,,,,,,,,,,,
3304,5,Im Rampenlicht,,,,,,,,,,,,,,,,,,,,,,,,,
3305,5,Anticipation,,,,,,,,,,,,,,,,,,,,,,,,,
3306,5,Hack Attack,,,,,,,,,,,,,,,,,,,,,,,,,
3307,4,Wallenstein,,,,,,,,,,,,,,,,,,,,,,,,,
3309,2,Air Cav,,,,,,,,,,,,,,,,,,,,,,,,,
3310,5,Irono Ofubi,,,,,,,,,,,,,,,,,,,,,,,,,
3311,5,Challenge the Zodiac,,,,,,,,,,,,,,,,,,,,,,,,,
3312,2,1776,,,,,,,,,,,,,,,,,,,,,,,,,
3313,5,Traverse,,,,,,,,,,,,,,,,,,,,,,,,,
3314,5,Lücgenbeutel,,,,,,,,,,,,,,,,,,,,,,,,,
3315,5,Die LeuchtturmArchitekten,,,,,,,,,,,,,,,,,,,,,,,,,
3316,2,Prussia's Glory The Battles of Frederick the Great,,,,,,,,,,,,,,,,,,,,,,,,,
3317,5,Royal Hearts,,,,,,,,,,,,,,,,,,,,,,,,,
3318,5,Heave Ho!,,,,,,,,,,,,,,,,,,,,,,,,,
3319,5,Neutreeko,,,,,,,,,,,,,,,,,,,,,,,,,
3320,5,The Game of Life A Jedi's Path,,,,,,,,,,,,,,,,,,,,,,,,,
3321,5,Die Pyramiden des Jaguar,,,,,,,,,,,,,,,,,,,,,,,,,
3322,5,Soccerboss,,,,,,,,,,,,,,,,,,,,,,,,,
3323,5,Slapstick,,,,,,,,,,,,,,,,,,,,,,,,,
3324,4,Railroader,,,,,,,,,,,,,,,,,,,,,,,,,
3325,5,Chartbuster,,,,,,,,,,,,,,,,,,,,,,,,,
3326,3,Frag Fire Zone,,,,,,,,,,,,,,,,,,,,,,,,,
3327,4,The Scotch Whisky Game,,,,,,,,,,,,,,,,,,,,,,,,,
3329,5,Hans Dampf,,,,,,,,,,,,,,,,,,,,,,,,,
3330,2,Peloton,,,,,,,,,,,,,,,,,,,,,,,,,
3331,5,Die Perlen der Scheherazade,,,,,,,,,,,,,,,,,,,,,,,,,
3332,5,Karmas,,,,,,,,,,,,,,,,,,,,,,,,,
3334,5,Illegal,,,,,,,,,,,,,,,,,,,,,,,,,
3335,0,Ganoven Jagd,,,,,,,,,,,,,,,,,,,,,,,,,
3336,5,Hol's der Teufel,,,,,,,,,,,,,,,,,,,,,,,,,
3337,5,Lobo 77,,,,,,,,,,,,,,,,,,,,,,,,,
3338,0,Nimm's Leich!,,,,,,,,,,,,,,,,,,,,,,,,,
3339,3,Diceland Deep White Sea,,,,,,,,,,,,,,,,,,,,,,,,,
3340,2,Hard Vacuum,,,,,,,,,,,,,,,,,,,,,,,,,
3341,5,Burn Rate,,,,,,,,,,,,,,,,,,,,,,,,,
3342,5,Soccerama,,,,,,,,,,,,,,,,,,,,,,,,,
3343,4,Go for Broke!,,,,,,,,,,,,,,,,,,,,,,,,,
3344,5,Lone Wolf and Cub Game,,,,,,,,,,,,,,,,,,,,,,,,,
3345,2,Admiral On Deck,,,,,,,,,,,,,,,,,,,,,,,,,
3346,5,Sea-Life,,,,,,,,,,,,,,,,,,,,,,,,,
3347,5,Solo,,,,,,,,,,,,,,,,,,,,,,,,,
3348,4,Santa Fe Rails,,,,,,,,,,,,,,,,,,,,,,,,,
3349,5,Die Safeknacker,,,,,,,,,,,,,,,,,,,,,,,,,
3350,5,Schaska,,,,,,,,,,,,,,,,,,,,,,,,,
3351,0,Wer ist der Täter?,,,,,,,,,,,,,,,,,,,,,,,,,
3352,5,Gouda! Gouda!,,,,,,,,,,,,,,,,,,,,,,,,,
3353,2,World War II Barbarossa to Berlin,,,,,,,,,,,,,,,,,,,,,,,,,
3354,2,Tide of Fortune,,,,,,,,,,,,,,,,,,,,,,,,,
3355,5,Junk Yard,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2,Musketeers,,,,,,,,,,,,,,,,,,,,,,,,,
3357,5,Wie Hund und Katz!,,,,,,,,,,,,,,,,,,,,,,,,,
3358,5,Affenraffen,,,,,,,,,,,,,,,,,,,,,,,,,
3359,5,Young England's Spelling Game of Moveable Letters,,,,,,,,,,,,,,,,,,,,,,,,,
3360,5,Lexicon,,,,,,,,,,,,,,,,,,,,,,,,,
3362,5,Red Dragon Dice Game,,,,,,,,,,,,,,,,,,,,,,,,,
3364,5,Tripjat,,,,,,,,,,,,,,,,,,,,,,,,,
3365,0,Gumshoe,,,,,,,,,,,,,,,,,,,,,,,,,
3366,5,Das Zeitungsspiel,,,,,,,,,,,,,,,,,,,,,,,,,
3368,5,Trödeln,,,,,,,,,,,,,,,,,,,,,,,,,
3369,3,John Carter Warlord of Mars,,,,,,,,,,,,,,,,,,,,,,,,,
3370,5,Connections,,,,,,,,,,,,,,,,,,,,,,,,,
3371,5,Travel September,,,,,,,,,,,,,,,,,,,,,,,,,
3372,5,Zamix,,,,,,,,,,,,,,,,,,,,,,,,,
3373,5,San Gimignano,,,,,,,,,,,,,,,,,,,,,,,,,
3374,5,Scrabble Crossword Cubes Game,,,,,,,,,,,,,,,,,,,,,,,,,
3375,5,Kaos,,,,,,,,,,,,,,,,,,,,,,,,,
3376,2,The Company War,,,,,,,,,,,,,,,,,,,,,,,,,
3377,0,Twenty Questions,,,,,,,,,,,,,,,,,,,,,,,,,
3378,5,The Inventors,,,,,,,,,,,,,,,,,,,,,,,,,
3379,5,The Amazing Spider-Man Game,,,,,,,,,,,,,,,,,,,,,,,,,
3380,5,ReBoot Mainframe Game,,,,,,,,,,,,,,,,,,,,,,,,,
3381,5,Chancer The Game,,,,,,,,,,,,,,,,,,,,,,,,,
3382,5,Sharpe's Attack,,,,,,,,,,,,,,,,,,,,,,,,,
3383,5,Mahé,,,,,,,,,,,,,,,,,,,,,,,,,
3384,2,Kerrunch,,,,,,,,,,,,,,,,,,,,,,,,,
3385,5,Stratego Star Wars,,,,,,,,,,,,,,,,,,,,,,,,,
3387,5,Snowboard,,,,,,,,,,,,,,,,,,,,,,,,,
3388,5,Bill Le jeu,,,,,,,,,,,,,,,,,,,,,,,,,
3389,5,Castle Lords,,,,,,,,,,,,,,,,,,,,,,,,,
3390,0,Friends,,,,,,,,,,,,,,,,,,,,,,,,,
3391,0,Loft Story,,,,,,,,,,,,,,,,,,,,,,,,,
3392,5,Outlaw & Posse,,,,,,,,,,,,,,,,,,,,,,,,,
3393,5,Public Assistance,,,,,,,,,,,,,,,,,,,,,,,,,
3394,4,Monopoly The Simpsons,,,,,,,,,,,,,,,,,,,,,,,,,
3395,5,Cross Over,,,,,,,,,,,,,,,,,,,,,,,,,
3396,5,Chiamo!,,,,,,,,,,,,,,,,,,,,,,,,,
3397,0,Kooky Kalooki,,,,,,,,,,,,,,,,,,,,,,,,,
3398,5,Eye of Horus,,,,,,,,,,,,,,,,,,,,,,,,,
3399,0,SeaNochle,,,,,,,,,,,,,,,,,,,,,,,,,
3401,5,Undercover,,,,,,,,,,,,,,,,,,,,,,,,,
3402,5,Modigliani,,,,,,,,,,,,,,,,,,,,,,,,,
3403,2,Rise and Fall,,,,,,,,,,,,,,,,,,,,,,,,,
3404,5,The Legend of Landlock,,,,,,,,,,,,,,,,,,,,,,,,,
3405,0,Tin Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,
3406,5,Lines of Action,,,,,,,,,,,,,,,,,,,,,,,,,
3407,5,Key Whiz,,,,,,,,,,,,,,,,,,,,,,,,,
3408,2,This Accursed Civil War,,,,,,,,,,,,,,,,,,,,,,,,,
3409,2,The Napoleonic Wars,,,,,,,,,,,,,,,,,,,,,,,,,
3410,5,Halleluja,,,,,,,,,,,,,,,,,,,,,,,,,
3411,2,Drive on Paris,,,,,,,,,,,,,,,,,,,,,,,,,
3412,2,Brandywine,,,,,,,,,,,,,,,,,,,,,,,,,
3413,2,Saratoga,,,,,,,,,,,,,,,,,,,,,,,,,
3414,2,Yom Kippur,,,,,,,,,,,,,,,,,,,,,,,,,
3415,3,The Mystic Wood Extension Kit,,,,,,,,,,,,,,,,,,,,,,,,,
3416,2,Fallschirmjaeger,,,,,,,,,,,,,,,,,,,,,,,,,
3417,5,Trimatics,,,,,,,,,,,,,,,,,,,,,,,,,
3418,5,Danger Guy,,,,,,,,,,,,,,,,,,,,,,,,,
3419,5,Star Trek The Game,,,,,,,,,,,,,,,,,,,,,,,,,
3420,5,Tip the Cows!,,,,,,,,,,,,,,,,,,,,,,,,,
3421,5,StreetSoccer,,,,,,,,,,,,,,,,,,,,,,,,,
3422,5,Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,
3423,5,Equations,,,,,,,,,,,,,,,,,,,,,,,,,
3425,5,Skunk,,,,,,,,,,,,,,,,,,,,,,,,,
3426,0,Give Us A Clue,,,,,,,,,,,,,,,,,,,,,,,,,
3427,5,Executive Blockhead,,,,,,,,,,,,,,,,,,,,,,,,,
3428,5,Save The World,,,,,,,,,,,,,,,,,,,,,,,,,
3429,0,The Party Game,,,,,,,,,,,,,,,,,,,,,,,,,
3430,5,The Three Stooges Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
3431,0,The Idiot Box,,,,,,,,,,,,,,,,,,,,,,,,,
3432,5,PSI,,,,,,,,,,,,,,,,,,,,,,,,,
3433,5,ESP,,,,,,,,,,,,,,,,,,,,,,,,,
3434,5,Golden Deuce,,,,,,,,,,,,,,,,,,,,,,,,,
3435,5,Zwergen Ziehen,,,,,,,,,,,,,,,,,,,,,,,,,
3436,5,Schatzsucher,,,,,,,,,,,,,,,,,,,,,,,,,
3437,5,Gogol,,,,,,,,,,,,,,,,,,,,,,,,,
3438,5,Shendao,,,,,,,,,,,,,,,,,,,,,,,,,
3439,3,Street Fighter Heroclix,,,,,,,,,,,,,,,,,,,,,,,,,
3440,5,Quip Qubes,,,,,,,,,,,,,,,,,,,,,,,,,
3441,5,Marino,,,,,,,,,,,,,,,,,,,,,,,,,
3443,5,Politrics,,,,,,,,,,,,,,,,,,,,,,,,,
3444,5,Royal Comette,,,,,,,,,,,,,,,,,,,,,,,,,
3445,5,Playing Shakespeare,,,,,,,,,,,,,,,,,,,,,,,,,
3446,4,Game Spice Monopoly Expansion,,,,,,,,,,,,,,,,,,,,,,,,,
3447,5,The Game of Maze,,,,,,,,,,,,,,,,,,,,,,,,,
3448,2,Hazard,,,,,,,,,,,,,,,,,,,,,,,,,
3450,5,The Dickens Game,,,,,,,,,,,,,,,,,,,,,,,,,
3451,5,Coffee!,,,,,,,,,,,,,,,,,,,,,,,,,
3452,3,Emerald,,,,,,,,,,,,,,,,,,,,,,,,,
3453,5,The Zodiac Game,,,,,,,,,,,,,,,,,,,,,,,,,
3454,5,Ludus Romanus,,,,,,,,,,,,,,,,,,,,,,,,,
3455,5,Runestone,,,,,,,,,,,,,,,,,,,,,,,,,
3456,5,The Hieroglyphs Game,,,,,,,,,,,,,,,,,,,,,,,,,
3457,5,Tabula,,,,,,,,,,,,,,,,,,,,,,,,,
3458,5,The Celtic Game,,,,,,,,,,,,,,,,,,,,,,,,,
3459,2,Major Battles and Campaigns of General George S. Patton,,,,,,,,,,,,,,,,,,,,,,,,,
3460,5,Kaubojai,,,,,,,,,,,,,,,,,,,,,,,,,
3461,5,OrkoMondo,,,,,,,,,,,,,,,,,,,,,,,,,
3462,5,Savana,,,,,,,,,,,,,,,,,,,,,,,,,
3463,3,Wizard,,,,,,,,,,,,,,,,,,,,,,,,,
3464,3,Melee,,,,,,,,,,,,,,,,,,,,,,,,,
3465,2,Black Hole,,,,,,,,,,,,,,,,,,,,,,,,,
3466,2,WarpWar,,,,,,,,,,,,,,,,,,,,,,,,,
3467,2,Star Quest,,,,,,,,,,,,,,,,,,,,,,,,,
3468,2,Panzer Pranks,,,,,,,,,,,,,,,,,,,,,,,,,
3469,5,China Topf,,,,,,,,,,,,,,,,,,,,,,,,,
3471,5,Le Mans,,,,,,,,,,,,,,,,,,,,,,,,,
3472,0,Plagio,,,,,,,,,,,,,,,,,,,,,,,,,
3473,5,RisiKard!,,,,,,,,,,,,,,,,,,,,,,,,,
3474,3,Sandsplatters,,,,,,,,,,,,,,,,,,,,,,,,,
3475,5,Shadowfist,,,,,,,,,,,,,,,,,,,,,,,,,
3476,2,Shadowrun DMZ Downtown Militarized Zone,,,,,,,,,,,,,,,,,,,,,,,,,
3479,3,Killer Instinct,,,,,,,,,,,,,,,,,,,,,,,,,
3481,3,Nemesis,,,,,,,,,,,,,,,,,,,,,,,,,
3482,5,Past Lives,,,,,,,,,,,,,,,,,,,,,,,,,
3483,0,Taradiddle,,,,,,,,,,,,,,,,,,,,,,,,,
3484,3,Armada 3,,,,,,,,,,,,,,,,,,,,,,,,,
3485,5,Anno Domini,,,,,,,,,,,,,,,,,,,,,,,,,
3486,5,Bataclan,,,,,,,,,,,,,,,,,,,,,,,,,
3487,5,BattleTech CCG,,,,,,,,,,,,,,,,,,,,,,,,,
3488,3,C-23,,,,,,,,,,,,,,,,,,,,,,,,,
3489,5,Derby,,,,,,,,,,,,,,,,,,,,,,,,,
3491,5,Dragon Ball Alla ricerca delle Sette Sfere,,,,,,,,,,,,,,,,,,,,,,,,,
3492,3,Dragon Storm,,,,,,,,,,,,,,,,,,,,,,,,,
3493,5,Ferrari F1,,,,,,,,,,,,,,,,,,,,,,,,,
3494,5,Gran Gol,,,,,,,,,,,,,,,,,,,,,,,,,
3495,3,Harry Potter Trading Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
3496,5,Il gioco del campionato,,,,,,,,,,,,,,,,,,,,,,,,,
3498,5,Il gioco della Formula Uno,,,,,,,,,,,,,,,,,,,,,,,,,
3499,5,Star Trek 50th Anniversary Tridimensional Chess Set,,,,,,,,,,,,,,,,,,,,,,,,,
3500,5,Schmuggler an Bord,,,,,,,,,,,,,,,,,,,,,,,,,
3501,5,Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,
3502,0,Star of the Guardians,,,,,,,,,,,,,,,,,,,,,,,,,
3503,3,Star Quest,,,,,,,,,,,,,,,,,,,,,,,,,
3504,0,Super Deck!,,,,,,,,,,,,,,,,,,,,,,,,,
3505,5,Super Pippo,,,,,,,,,,,,,,,,,,,,,,,,,
3506,3,D3 Time Warriors,,,,,,,,,,,,,,,,,,,,,,,,,
3507,5,By Golly!,,,,,,,,,,,,,,,,,,,,,,,,,
3508,5,Hold Everything!,,,,,,,,,,,,,,,,,,,,,,,,,
3509,5,Alfreds Other Game,,,,,,,,,,,,,,,,,,,,,,,,,
3510,0,The Simpsons Battle of the Sexes,,,,,,,,,,,,,,,,,,,,,,,,,
3511,5,The Christmas Game,,,,,,,,,,,,,,,,,,,,,,,,,
3512,5,Doorways to Adventure,,,,,,,,,,,,,,,,,,,,,,,,,
3513,5,Electronic Stratego,,,,,,,,,,,,,,,,,,,,,,,,,
3514,5,Game of Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,
3515,5,Men Are From Mars,,,,,,,,,,,,,,,,,,,,,,,,,
3516,5,Option,,,,,,,,,,,,,,,,,,,,,,,,,
3517,5,Tornado Rex,,,,,,,,,,,,,,,,,,,,,,,,,
3518,2,Napoleon in Europe,,,,,,,,,,,,,,,,,,,,,,,,,
3519,4,Millionary,,,,,,,,,,,,,,,,,,,,,,,,,
3520,5,U.E.F.A.,,,,,,,,,,,,,,,,,,,,,,,,,
3521,5,Your America,,,,,,,,,,,,,,,,,,,,,,,,,
3522,5,LCR,,,,,,,,,,,,,,,,,,,,,,,,,
3523,2,Decision At Kasserine,,,,,,,,,,,,,,,,,,,,,,,,,
3524,5,Geeks The Convention,,,,,,,,,,,,,,,,,,,,,,,,,
3525,0,Act One,,,,,,,,,,,,,,,,,,,,,,,,,
3527,2,Iliad,,,,,,,,,,,,,,,,,,,,,,,,,
3528,4,Priceless,,,,,,,,,,,,,,,,,,,,,,,,,
3529,3,Vampire Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
3530,5,Stars On Stripes Football Game,,,,,,,,,,,,,,,,,,,,,,,,,
3531,5,The Return of the Stainless Steel Rat,,,,,,,,,,,,,,,,,,,,,,,,,
3532,5,Damocles Mission,,,,,,,,,,,,,,,,,,,,,,,,,
3533,2,Arena of Death,,,,,,,,,,,,,,,,,,,,,,,,,
3534,4,Star Trader 3000,,,,,,,,,,,,,,,,,,,,,,,,,
3535,3,Nightmare House,,,,,,,,,,,,,,,,,,,,,,,,,
3536,5,1-2-3 OY!,,,,,,,,,,,,,,,,,,,,,,,,,
3537,5,A-B-C OY!,,,,,,,,,,,,,,,,,,,,,,,,,
3538,4,Gnome Tribes,,,,,,,,,,,,,,,,,,,,,,,,,
3539,5,Largo Winch,,,,,,,,,,,,,,,,,,,,,,,,,
3540,5,Tic Tac Chec,,,,,,,,,,,,,,,,,,,,,,,,,
3541,5,Noble Celts,,,,,,,,,,,,,,,,,,,,,,,,,
3542,0,XIII Le Complot,,,,,,,,,,,,,,,,,,,,,,,,,
3543,5,Spider-Man,,,,,,,,,,,,,,,,,,,,,,,,,
3544,5,Antagon,,,,,,,,,,,,,,,,,,,,,,,,,
3545,0,Trivial Pursuit Flicks,,,,,,,,,,,,,,,,,,,,,,,,,
3546,5,The Mage's Triangle,,,,,,,,,,,,,,,,,,,,,,,,,
3547,0,Survival of the Witless,,,,,,,,,,,,,,,,,,,,,,,,,
3548,2,Assault on Hoth The Empire Strikes Back,,,,,,,,,,,,,,,,,,,,,,,,,
3549,5,Superpower,,,,,,,,,,,,,,,,,,,,,,,,,
3550,4,Stock Market Specialist,,,,,,,,,,,,,,,,,,,,,,,,,
3552,5,Infinity,,,,,,,,,,,,,,,,,,,,,,,,,
3553,2,Close Action The Age of Fighting Sail Vol. 1,,,,,,,,,,,,,,,,,,,,,,,,,
3554,4,Rich Uncle,,,,,,,,,,,,,,,,,,,,,,,,,
3555,5,Stick Around,,,,,,,,,,,,,,,,,,,,,,,,,
3556,5,Mime Smashing,,,,,,,,,,,,,,,,,,,,,,,,,
3557,5,Steppe,,,,,,,,,,,,,,,,,,,,,,,,,
3558,5,Quizzard,,,,,,,,,,,,,,,,,,,,,,,,,
3560,2,Ice War,,,,,,,,,,,,,,,,,,,,,,,,,
3561,2,Ram Speed,,,,,,,,,,,,,,,,,,,,,,,,,
3562,5,Theophrastus,,,,,,,,,,,,,,,,,,,,,,,,,
3563,3,The Lord of the Rings The Fellowship of the Ring  Battle Games in the World of Middle Earth (alternate),,,,,,,,,,,,,,,,,,,,,,,,,
3564,5,Programmer's Nightmare,,,,,,,,,,,,,,,,,,,,,,,,,
3565,3,Mordheim City of the Damned,,,,,,,,,,,,,,,,,,,,,,,,,
3566,5,Thinking Man's Football,,,,,,,,,,,,,,,,,,,,,,,,,
3567,4,Roller Coaster Tycoon,,,,,,,,,,,,,,,,,,,,,,,,,
3568,0,Stage II,,,,,,,,,,,,,,,,,,,,,,,,,
3569,5,Robin Hood,,,,,,,,,,,,,,,,,,,,,,,,,
3570,5,Zicke Zacke Igelkacke,,,,,,,,,,,,,,,,,,,,,,,,,
3571,2,Spitfire,,,,,,,,,,,,,,,,,,,,,,,,,
3572,2,Invasion America  Death Throes of the Superpower,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2,Napoleon at Waterloo,,,,,,,,,,,,,,,,,,,,,,,,,
3574,2,Tank! Armored Combat in the 20th Century,,,,,,,,,,,,,,,,,,,,,,,,,
3575,2,The Plot to Assassinate Hitler,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2,Operation Olympic,,,,,,,,,,,,,,,,,,,,,,,,,
3577,2,Terrible Swift Sword The Three Days of Gettysburg,,,,,,,,,,,,,,,,,,,,,,,,,
3578,5,BattleBots Kickbot Arena,,,,,,,,,,,,,,,,,,,,,,,,,
3579,5,Numero,,,,,,,,,,,,,,,,,,,,,,,,,
3580,5,Zock!,,,,,,,,,,,,,,,,,,,,,,,,,
3581,2,Lion of the North,,,,,,,,,,,,,,,,,,,,,,,,,
3582,5,Rennfieber,,,,,,,,,,,,,,,,,,,,,,,,,
3583,5,Zon Ahl,,,,,,,,,,,,,,,,,,,,,,,,,
3584,2,World War 3,,,,,,,,,,,,,,,,,,,,,,,,,
3585,2,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,
3586,0,Sherlock,,,,,,,,,,,,,,,,,,,,,,,,,
3587,0,Schicksack,,,,,,,,,,,,,,,,,,,,,,,,,
3588,5,Mini Mind Mover 3,,,,,,,,,,,,,,,,,,,,,,,,,
3589,5,Beast Wars Transformers Mutating Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
3590,5,Campaign Trail,,,,,,,,,,,,,,,,,,,,,,,,,
3591,5,Cribb Derby,,,,,,,,,,,,,,,,,,,,,,,,,
3592,5,Konradin oder Interregnum,,,,,,,,,,,,,,,,,,,,,,,,,
3593,2,Star Wars Star Warriors,,,,,,,,,,,,,,,,,,,,,,,,,
3594,2,Star Wars Battle for Endor,,,,,,,,,,,,,,,,,,,,,,,,,
3595,0,Squint,,,,,,,,,,,,,,,,,,,,,,,,,
3596,5,Take 4,,,,,,,,,,,,,,,,,,,,,,,,,
3597,5,Strat-O-Matic Hockey,,,,,,,,,,,,,,,,,,,,,,,,,
3598,4,Tracks to Telluride,,,,,,,,,,,,,,,,,,,,,,,,,
3599,5,Link,,,,,,,,,,,,,,,,,,,,,,,,,
3600,2,Fifth Frontier War,,,,,,,,,,,,,,,,,,,,,,,,,
3601,2,MegaNation,,,,,,,,,,,,,,,,,,,,,,,,,
3602,2,Kriegspiel,,,,,,,,,,,,,,,,,,,,,,,,,
3603,2,The Normandy Campaign,,,,,,,,,,,,,,,,,,,,,,,,,
3604,5,Mamba,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2,The Third World War,,,,,,,,,,,,,,,,,,,,,,,,,
3606,5,The Game of Shakespeare,,,,,,,,,,,,,,,,,,,,,,,,,
3607,2,Dauntless,,,,,,,,,,,,,,,,,,,,,,,,,
3608,2,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,
3609,2,Crescendo of Doom,,,,,,,,,,,,,,,,,,,,,,,,,
3610,5,Word Power,,,,,,,,,,,,,,,,,,,,,,,,,
3611,5,Backgammon 4,,,,,,,,,,,,,,,,,,,,,,,,,
3612,5,Pro Football Fantasm,,,,,,,,,,,,,,,,,,,,,,,,,
3613,2,Air Superiority,,,,,,,,,,,,,,,,,,,,,,,,,
3614,2,Air Strike,,,,,,,,,,,,,,,,,,,,,,,,,
3615,2,Agincourt The Triumph of Archery over Armor,,,,,,,,,,,,,,,,,,,,,,,,,
3616,2,BattleForce,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,Operation Pegasus,,,,,,,,,,,,,,,,,,,,,,,,,
3618,2,The World at War,,,,,,,,,,,,,,,,,,,,,,,,,
3619,5,Chain Reaction,,,,,,,,,,,,,,,,,,,,,,,,,
3620,4,TrainSport Austria,,,,,,,,,,,,,,,,,,,,,,,,,
3622,0,eBay The Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
3623,0,Survivor,,,,,,,,,,,,,,,,,,,,,,,,,
3624,3,Drakon Expansion 1,,,,,,,,,,,,,,,,,,,,,,,,,
3625,3,DeathMaze,,,,,,,,,,,,,,,,,,,,,,,,,
3626,2,Demons,,,,,,,,,,,,,,,,,,,,,,,,,
3627,3,Chaostle,,,,,,,,,,,,,,,,,,,,,,,,,
3628,5,Freche Frösche,,,,,,,,,,,,,,,,,,,,,,,,,
3629,0,Start Your Own Riot!,,,,,,,,,,,,,,,,,,,,,,,,,
3630,3,Dragon War,,,,,,,,,,,,,,,,,,,,,,,,,
3631,5,Flinke Flitzer,,,,,,,,,,,,,,,,,,,,,,,,,
3632,5,Too Many Cooks,,,,,,,,,,,,,,,,,,,,,,,,,
3633,4,Sid Meier's Civilization The Boardgame,,,,,,,,,,,,,,,,,,,,,,,,,
3634,2,Iberos,,,,,,,,,,,,,,,,,,,,,,,,,
3635,0,Trivial Pursuit Country Music,,,,,,,,,,,,,,,,,,,,,,,,,
3636,5,SongBurst 50's & 60's Edition,,,,,,,,,,,,,,,,,,,,,,,,,
3637,2,Triplanetary The Classic Game of Space Combat,,,,,,,,,,,,,,,,,,,,,,,,,
3638,5,Ultra Vilelence,,,,,,,,,,,,,,,,,,,,,,,,,
3639,3,Strange New Worlds,,,,,,,,,,,,,,,,,,,,,,,,,
3640,5,Spy Ring,,,,,,,,,,,,,,,,,,,,,,,,,
3641,2,Grand Imperialism,,,,,,,,,,,,,,,,,,,,,,,,,
3642,5,Assault on Mt. Everest,,,,,,,,,,,,,,,,,,,,,,,,,
3643,5,Spellmaker,,,,,,,,,,,,,,,,,,,,,,,,,
3644,5,Elemental,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2,History of the Second World War,,,,,,,,,,,,,,,,,,,,,,,,,
3646,2,Luftwaffe,,,,,,,,,,,,,,,,,,,,,,,,,
3647,5,Bumerang,,,,,,,,,,,,,,,,,,,,,,,,,
3648,4,Wheeler Dealer,,,,,,,,,,,,,,,,,,,,,,,,,
3649,5,Power Play,,,,,,,,,,,,,,,,,,,,,,,,,
3650,2,The Twilight War,,,,,,,,,,,,,,,,,,,,,,,,,
3651,3,Zombies!!! Zombie Corps(e),,,,,,,,,,,,,,,,,,,,,,,,,
3652,5,NFL Franchise,,,,,,,,,,,,,,,,,,,,,,,,,
3653,0,Uncle Rez's Pets,,,,,,,,,,,,,,,,,,,,,,,,,
3654,2,Squares The Civil War Battle Game,,,,,,,,,,,,,,,,,,,,,,,,,
3655,4,The Settlers of Canaan,,,,,,,,,,,,,,,,,,,,,,,,,
3656,5,Score Four,,,,,,,,,,,,,,,,,,,,,,,,,
3657,5,Redemption City of Bondage,,,,,,,,,,,,,,,,,,,,,,,,,
3658,5,Cube Farm,,,,,,,,,,,,,,,,,,,,,,,,,
3660,5,Rock,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2,Imperium,,,,,,,,,,,,,,,,,,,,,,,,,
3662,2,BattleFleet Mars Space Combat in the 21st Century,,,,,,,,,,,,,,,,,,,,,,,,,
3663,2,Outreach The Conquest of the Galaxy,,,,,,,,,,,,,,,,,,,,,,,,,
3664,5,Grand Mastermind,,,,,,,,,,,,,,,,,,,,,,,,,
3665,5,Sumo Arena,,,,,,,,,,,,,,,,,,,,,,,,,
3666,2,Raider!,,,,,,,,,,,,,,,,,,,,,,,,,
3667,5,Star Fleet Battle Manual,,,,,,,,,,,,,,,,,,,,,,,,,
3668,3,Tribbles Customizable Card Game,,,,,,,,,,,,,,,,,,,,,,,,,
3669,2,Moon Base Clavius,,,,,,,,,,,,,,,,,,,,,,,,,
3670,2,Battlewagon,,,,,,,,,,,,,,,,,,,,,,,,,
3671,5,Dwarves,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2,Hot Spot,,,,,,,,,,,,,,,,,,,,,,,,,
3674,2,Fast Attack Boats,,,,,,,,,,,,,,,,,,,,,,,,,
3675,5,Neck and Neck,,,,,,,,,,,,,,,,,,,,,,,,,
3676,5,Global Pursuit,,,,,,,,,,,,,,,,,,,,,,,,,
3677,2,Ultimatum,,,,,,,,,,,,,,,,,,,,,,,,,
3678,2,Commando Actions,,,,,,,,,,,,,,,,,,,,,,,,,
3679,5,Ramparts,,,,,,,,,,,,,,,,,,,,,,,,,
3680,2,Superiority,,,,,,,,,,,,,,,,,,,,,,,,,
3681,2,Zulu Attack,,,,,,,,,,,,,,,,,,,,,,,,,
3682,5,Go For The Green,,,,,,,,,,,,,,,,,,,,,,,,,
3684,5,Dragons The Classic Game,,,,,,,,,,,,,,,,,,,,,,,,,
